"","Estimate","SE","z","P(>|z|)"
"(Intercept)",-2.65325688266676,1.32719316481666,-1.99914899579315,0.045592235210304
"year2017",2.12580189255385,1.37582111411059,1.54511503766831,0.12231844025888
"Woody_hits",0.656607640087938,0.449902500750185,1.45944429958287,0.144442860751644
"Cladium",0.513441514109465,0.435355008528496,1.17936282815467,0.238253730147141
