"","Var1","Freq"
"1","1",0
"2","107",0
"3","109",0
"4","113",0
"5","115",0
"6","117",3
"7","119",0
"8","12",0
"9","120\Data",0
"10","130",0
"11","130\5-18-17--5-22-17",1
"12","131",0
"13","132",0
"14","133",0
"15","25",0
"16","28",0
"17","30",0
"18","34",0
"19","35",0
"20","36",0
"21","5",0
"22","66",0
"23","67",0
"24","89",0
"25","9",0
"26","91",1
