"081.2016",423,413,447,NA,423,413,447,NA
"081.2017",491,476,NA,NA,491,476,NA,NA
"082.2016",459,459,378,NA,459,459,378,NA
"082.2017",456,411,NA,NA,456,411,NA,NA
"083.2016",366,366,478,NA,366,366,478,NA
"083.2017",505,505,NA,NA,505,505,NA,NA
"084.2016",425,409,NA,NA,425,409,NA,NA
"084.2017",557,557,NA,NA,557,557,NA,NA
"085.2016",386,362,NA,NA,386,362,NA,NA
"085.2017",452,452,NA,NA,452,452,NA,NA
"086.2016",465,334,428,NA,465,334,428,NA
"086.2017",510,510,399,NA,510,510,399,NA
"087.2016",403,484,NA,NA,403,484,NA,NA
"087.2017",411,411,NA,NA,411,411,NA,NA
"089.2016",369,392,NA,NA,369,392,NA,NA
"089.2017",415,415,NA,NA,415,415,NA,NA
"091.2016",483,421,NA,NA,483,421,NA,NA
"091.2017",453,453,NA,NA,453,453,NA,NA
"092.2016",415,483,NA,NA,415,483,NA,NA
"092.2017",499,499,NA,NA,499,499,NA,NA
"093.2016",415,439,NA,NA,415,439,NA,NA
"093.2017",435,435,NA,NA,435,435,NA,NA
"098.2016",492,387,359,NA,492,387,359,NA
"098.2017",530,530,NA,NA,530,530,NA,NA
"099.2016",465,458,456,NA,465,458,456,NA
"099.2017",461,461,NA,NA,461,461,NA,NA
"100.2016",425,423,498,NA,425,423,498,NA
"100.2017",495,495,NA,NA,495,495,NA,NA
"101.2016",390,507,398,NA,390,507,398,NA
"101.2017",411,411,NA,NA,411,411,NA,NA
"107.2016",375,NA,NA,NA,375,NA,NA,NA
"107.2017",456,456,NA,NA,456,456,NA,NA
"108.2016",453,458,NA,NA,453,458,NA,NA
"108.2017",570,570,NA,NA,570,570,NA,NA
"109.2016",440,416,470,NA,440,416,470,NA
"109.2017",517,NA,NA,NA,517,NA,NA,NA
"111.2016",438,398,NA,NA,438,398,NA,NA
"111.2017",415,415,NA,NA,415,415,NA,NA
"112.2016",444,410,437,NA,444,410,437,NA
"112.2017",495,495,NA,NA,495,495,NA,NA
"113.2016",367,487,351,NA,367,487,351,NA
"113.2017",392,392,425,NA,392,392,425,NA
"114.2016",486,445,383,NA,486,445,383,NA
