"","1.passive","2.passive","3.passive","4.passive","1.active","2.active","3.active","4.active"
"070.2017",2,8,NA,NA,4,6,NA,NA
"071.2016",NA,NA,NA,NA,NA,NA,NA,NA
"071.2017",1,6,5,NA,1,8,7,NA
"072.2016",NA,NA,NA,NA,NA,NA,NA,NA
"072.2017",2,3,2,NA,2,2,1,NA
"073.2016",NA,NA,NA,NA,NA,NA,NA,NA
"073.2017",5,9,9,NA,4,10,8,NA
"074.2016",NA,NA,NA,NA,NA,NA,NA,NA
"074.2017",7,4,NA,NA,6,9,NA,NA
"075.2016",NA,NA,NA,NA,NA,NA,NA,NA
"075.2017",0,1,NA,NA,0,1,NA,NA
"076.2016",NA,NA,NA,NA,NA,NA,NA,NA
"076.2017",1,4,NA,NA,0,4,NA,NA
"077.2016",NA,NA,NA,NA,NA,NA,NA,NA
"077.2017",0,0,NA,NA,0,0,NA,NA
"078.2016",NA,NA,NA,NA,NA,NA,NA,NA
"078.2017",7,NA,NA,NA,6,NA,NA,NA
"079.2016",NA,NA,NA,NA,NA,NA,NA,NA
"079.2017",0,0,0,NA,0,0,0,NA
"080.2016",NA,NA,NA,NA,NA,NA,NA,NA
"080.2017",0,0,0,NA,0,0,0,NA
"081.2016",NA,NA,NA,NA,NA,NA,NA,NA
"081.2017",0,0,NA,NA,0,0,NA,NA
"082.2016",NA,NA,NA,NA,NA,NA,NA,NA
"082.2017",0,0,NA,NA,0,0,NA,NA
"083.2016",NA,NA,NA,NA,NA,NA,NA,NA
"083.2017",0,0,NA,NA,0,0,NA,NA
"084.2016",NA,NA,NA,NA,NA,NA,NA,NA
"084.2017",2,1,NA,NA,0,0,NA,NA
"085.2016",NA,NA,NA,NA,NA,NA,NA,NA
"085.2017",0,0,NA,NA,0,0,NA,NA
"086.2016",NA,NA,NA,NA,NA,NA,NA,NA
"086.2017",0,0,0,NA,0,0,0,NA
"087.2016",NA,NA,NA,NA,NA,NA,NA,NA
"087.2017",0,0,NA,NA,0,0,NA,NA
"089.2016",NA,NA,NA,NA,NA,NA,NA,NA
"089.2017",0,0,NA,NA,0,0,NA,NA
"091.2016",NA,NA,NA,NA,NA,NA,NA,NA
"091.2017",3,3,NA,NA,3,4,NA,NA
"092.2016",NA,NA,NA,NA,NA,NA,NA,NA
"092.2017",3,3,NA,NA,3,3,NA,NA
"093.2016",NA,NA,NA,NA,NA,NA,NA,NA
