"","1.passive","2.passive","3.passive","4.passive","1.active","2.active","3.active","4.active"
"089.2017",0,0,NA,NA,0,0,NA,NA
"091.2016",0,2,NA,NA,0,1,NA,NA
"091.2017",0,0,NA,NA,0,0,NA,NA
"092.2016",0,0,NA,NA,0,0,NA,NA
"092.2017",0,0,NA,NA,0,0,NA,NA
"093.2016",0,0,NA,NA,0,0,NA,NA
"093.2017",1,1,NA,NA,2,1,NA,NA
"098.2016",0,1,1,NA,0,1,0,NA
"098.2017",0,0,NA,NA,0,0,NA,NA
"099.2016",0,0,0,NA,0,0,0,NA
"099.2017",0,0,NA,NA,0,0,NA,NA
"100.2016",0,1,0,NA,0,1,0,NA
"100.2017",0,0,NA,NA,0,0,NA,NA
"101.2016",0,0,0,NA,0,0,0,NA
"101.2017",0,0,NA,NA,0,0,NA,NA
"107.2016",1,NA,NA,NA,0,NA,NA,NA
"107.2017",0,0,NA,NA,0,0,NA,NA
"108.2016",0,0,NA,NA,0,0,NA,NA
"108.2017",0,0,NA,NA,0,0,NA,NA
"109.2016",0,1,1,NA,0,1,1,NA
"109.2017",0,NA,NA,NA,0,NA,NA,NA
"111.2016",0,1,NA,NA,0,1,NA,NA
"111.2017",0,0,NA,NA,0,0,NA,NA
"112.2016",0,0,0,NA,0,0,0,NA
"112.2017",0,0,NA,NA,0,0,NA,NA
"113.2016",0,0,0,NA,0,0,0,NA
"113.2017",0,0,0,NA,0,0,0,NA
"114.2016",0,1,0,NA,0,1,0,NA
"114.2017",0,0,0,NA,0,0,0,NA
"115.2016",0,0,0,NA,0,0,0,NA
"115.2017",0,0,0,NA,0,0,0,NA
"117.2016",0,0,1,NA,0,0,1,NA
"117.2017",0,0,0,NA,0,0,0,NA
"118.2016",0,0,NA,NA,0,0,NA,NA
"118.2017",0,0,NA,NA,0,0,NA,NA
"119.2016",0,1,NA,NA,0,1,NA,NA
"119.2017",0,0,NA,NA,0,0,NA,NA
"120.2016",0,0,NA,NA,0,0,NA,NA
"120.2017",0,0,NA,NA,0,0,NA,NA
"121.2016",0,0,NA,NA,0,0,NA,NA
"121.2017",0,0,NA,NA,0,0,NA,NA
"122.2016",0,NA,NA,NA,0,NA,NA,NA
"122.2017",0,0,NA,NA,0,0,NA,NA
"123.2016",0,0,NA,NA,0,1,NA,NA
"123.2017",0,0,NA,NA,0,0,NA,NA
"124.2016",0,0,NA,NA,0,0,NA,NA
