"081.2016",137,137,155,NA,137,137,155,NA
"081.2017",106,163,NA,NA,106,163,NA,NA
"082.2016",137,137,155,NA,137,137,155,NA
"082.2017",106,163,NA,NA,106,163,NA,NA
"083.2016",137,137,155,NA,137,137,155,NA
"083.2017",103,103,NA,NA,103,103,NA,NA
"084.2016",109,145,NA,NA,109,145,NA,NA
"084.2017",103,103,NA,NA,103,103,NA,NA
"085.2016",109,145,NA,NA,109,145,NA,NA
"085.2017",103,103,NA,NA,103,103,NA,NA
"086.2016",105,137,167,NA,105,137,167,NA
"086.2017",120,120,157,NA,120,120,157,NA
"087.2016",117,168,NA,NA,117,168,NA,NA
"087.2017",169,169,NA,NA,169,169,NA,NA
"089.2016",124,178,NA,NA,124,178,NA,NA
"089.2017",117,117,NA,NA,117,117,NA,NA
"091.2016",129,178,NA,NA,129,178,NA,NA
"091.2017",117,117,NA,NA,117,117,NA,NA
"092.2016",124,155,NA,NA,124,155,NA,NA
"092.2017",117,117,NA,NA,117,117,NA,NA
"093.2016",129,155,NA,NA,129,155,NA,NA
"093.2017",159,159,NA,NA,159,159,NA,NA
"098.2016",119,146,164,NA,119,146,164,NA
"098.2017",135,135,NA,NA,135,135,NA,NA
"099.2016",119,146,164,NA,119,146,164,NA
"099.2017",135,135,NA,NA,135,135,NA,NA
"100.2016",119,146,164,NA,119,146,164,NA
"100.2017",135,135,NA,NA,135,135,NA,NA
"101.2016",119,146,164,NA,119,146,164,NA
"101.2017",135,135,NA,NA,135,135,NA,NA
"107.2016",144,NA,NA,NA,144,NA,NA,NA
"107.2017",116,116,NA,NA,116,116,NA,NA
"108.2016",129,152,NA,NA,129,152,NA,NA
"108.2017",116,116,NA,NA,116,116,NA,NA
"109.2016",124,152,178,NA,124,152,178,NA
"109.2017",116,NA,NA,NA,116,NA,NA,NA
"111.2016",124,136,NA,NA,124,136,NA,NA
"111.2017",134,134,NA,NA,134,134,NA,NA
"112.2016",115,136,154,NA,115,136,154,NA
"112.2017",166,166,NA,NA,166,166,NA,NA
"113.2016",131,148,159,NA,131,148,159,NA
"113.2017",124,124,144,NA,124,124,144,NA
"114.2016",131,148,159,NA,131,148,159,NA
"114.2017",127,127,144,NA,127,127,144,NA
"115.2016",131,148,159,NA,131,148,159,NA
"115.2017",127,127,156,NA,127,127,156,NA
"117.2016",131,148,159,NA,131,148,159,NA
"117.2017",127,127,156,NA,127,127,156,NA
"118.2016",132,171,NA,NA,132,171,NA,NA
"118.2017",164,164,NA,NA,164,164,NA,NA
"119.2016",132,171,NA,NA,132,171,NA,NA
"119.2017",164,164,NA,NA,164,164,NA,NA
"120.2016",132,171,NA,NA,132,171,NA,NA
"120.2017",164,164,NA,NA,164,164,NA,NA
"121.2016",132,171,NA,NA,132,171,NA,NA
"121.2017",164,164,NA,NA,164,164,NA,NA
"122.2016",171,NA,NA,NA,171,NA,NA,NA
"122.2017",164,164,NA,NA,164,164,NA,NA
"123.2016",133,171,NA,NA,133,171,NA,NA
"123.2017",165,165,NA,NA,165,165,NA,NA
"124.2016",133,171,NA,NA,133,171,NA,NA
"124.2017",165,165,NA,NA,165,165,NA,NA
"125.2016",133,171,NA,NA,133,171,NA,NA
"125.2017",165,165,NA,NA,165,165,NA,NA
"126.2016",126,139,NA,NA,126,139,NA,NA
"127.2016",126,139,NA,NA,126,139,NA,NA
"128.2016",126,139,NA,NA,126,139,NA,NA
"129.2016",139,169,NA,NA,139,169,NA,NA
"130.2016",132,145,165,NA,132,145,165,NA
"130.2017",99,129,137,NA,99,129,137,NA
"131.2016",132,145,165,NA,132,145,165,NA
"131.2017",99,129,137,NA,99,129,137,NA
"132.2016",132,145,165,NA,132,145,165,NA
"132.2017",99,129,137,NA,99,129,137,NA
"133.2016",132,145,165,NA,132,145,165,NA
"133.2017",99,129,137,NA,99,129,137,NA
"134.2016",142,170,NA,NA,142,170,NA,NA
"135.2016",142,170,NA,NA,142,170,NA,NA
