"","Var1","Freq"
"1","",7
"2","BLRA",2
"3","CLRA kek",0
"4","focal mix",0
"5","LEBI",187
"6","non focal",45
"7","SESP",0
"8","SORA",0
"9","VIRA call",0
"10","VIRA grunt",0
