"","Var1","Freq"
"1","",0
"2","BLRA",1536
"3","CLRA kek",0
"4","focal mix",0
"5","LEBI",0
"6","non focal",13
"7","SESP",0
"8","SORA",0
"9","VIRA call",0
"10","VIRA grunt",0
