FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,S4A01593_20160506_225407.wav,0,1071.685,0.309,1313,1584,1875,5/6/2016,11:58.7,23,5/6/2016,11:58.7,11,non focal,0.25405,BLRA,0.25405,CLRA kek,0.25405,1,non focal
,S4A01593_20160506_225407.wav,1,1514.869,0.395,1313,1576,1875,5/6/2016,19:21.9,23,5/6/2016,19:21.9,11,non focal,0.256469,BLRA,0.256469,CLRA kek,0.256469,1,non focal
,S4A01593_20160506_225407.wav,1,2223.317,1.056,844,3198,3656,5/6/2016,31:10.3,23,5/6/2016,31:10.3,11,non focal,0.258223,VIRA grunt,0.258223,VIRA call,0.258223,1,non focal
,S4A01593_20160506_225407.wav,0,3447.509,3.435,3094,3411,3938,5/6/2016,51:34.5,23,5/6/2016,51:34.5,11,non focal,0.261973,VIRA grunt,0.261973,SESP,0.261973,1,non focal
,S4A01593_20160506_225407.wav,0,1841.275,0.683,3094,3396,3750,5/6/2016,24:48.3,23,5/6/2016,24:48.3,11,non focal,0.265257,VIRA grunt,0.265257,VIRA call,0.265257,1,non focal
,S4A01593_20160506_225407.wav,1,1822.827,2.331,3094,3438,3750,5/6/2016,24:29.8,23,5/6/2016,24:29.8,11,non focal,0.265945,VIRA grunt,0.265945,VIRA call,0.265945,1,non focal
,S4A01593_20160506_225407.wav,0,1739.28,0.437,3094,3385,3750,5/6/2016,23:06.3,23,5/6/2016,23:06.3,11,non focal,0.268608,VIRA grunt,0.268608,SESP,0.268608,1,non focal
,S4A01593_20160506_225407.wav,0,3321.739,0.731,3000,3362,3656,5/6/2016,49:28.7,23,5/6/2016,49:28.7,11,non focal,0.268983,VIRA grunt,0.268983,VIRA call,0.268983,1,non focal
,S4A01593_20160506_225407.wav,0,2223.317,1.056,844,3228,3750,5/6/2016,31:10.3,23,5/6/2016,31:10.3,11,non focal,0.271479,VIRA grunt,0.271479,VIRA call,0.271479,1,non focal
,S4A01593_20160506_225407.wav,0,2116.283,0.907,3000,3397,3656,5/6/2016,29:23.3,23,5/6/2016,29:23.3,11,non focal,0.278186,VIRA grunt,0.278186,VIRA call,0.278186,1,non focal
,S4A01593_20160506_225407.wav,0,2440.965,0.331,1594,1781,1969,5/6/2016,34:48.0,23,5/6/2016,34:48.0,11,non focal,0.279981,BLRA,0.279981,CLRA grunt,0.279981,1,non focal
,S4A01593_20160506_225407.wav,0,3295.051,0.933,3094,3419,3656,5/6/2016,49:02.1,23,5/6/2016,49:02.1,11,non focal,0.28278,non focal,1.14675,focal mix,1.14675,1,non focal
,S4A01593_20160506_225407.wav,0,3286.197,0.8,3000,3401,3656,5/6/2016,48:53.2,23,5/6/2016,48:53.2,11,non focal,0.284285,VIRA grunt,0.284285,VIRA call,0.284285,1,non focal
,S4A01593_20160506_225407.wav,1,3326.928,1.141,2813,3387,3750,5/6/2016,49:33.9,23,5/6/2016,49:33.9,11,non focal,0.285678,non focal,1.059498,focal mix,1.059498,1,non focal
,S4A01593_20160506_225407.wav,0,2478.603,0.229,1406,1688,1969,5/6/2016,35:25.6,23,5/6/2016,35:25.6,11,non focal,0.295789,BLRA,0.295789,CLRA kek,0.295789,1,non focal
,S4A01593_20160506_225407.wav,0,1089.936,0.331,1313,1609,1969,5/6/2016,12:16.9,23,5/6/2016,12:16.9,11,non focal,0.297495,BLRA,0.297495,CLRA kek,0.297495,1,non focal
,S4A01593_20160506_225407.wav,0,3328.661,0.971,3000,3410,3750,5/6/2016,49:35.7,23,5/6/2016,49:35.7,11,non focal,0.298494,non focal,1.017438,focal mix,1.017438,1,non focal
,S4A01593_20160506_225407.wav,0,3324.24,1.685,3000,3376,3750,5/6/2016,49:31.2,23,5/6/2016,49:31.2,11,non focal,0.306509,VIRA grunt,0.306509,VIRA call,0.306509,1,non focal
,S4A01593_20160506_225407.wav,0,3558.619,2.416,2250,3301,3656,5/6/2016,53:25.6,23,5/6/2016,53:25.6,11,non focal,0.307877,VIRA grunt,0.307877,VIRA call,0.307877,1,non focal
,S4A01593_20160506_225407.wav,0,3218.352,1.216,3000,3400,3656,5/6/2016,47:45.4,23,5/6/2016,47:45.4,11,non focal,0.308222,VIRA grunt,0.308222,VIRA call,0.308222,1,non focal
,S4A01593_20160506_225407.wav,0,1842.347,2.059,1781,3290,3750,5/6/2016,24:49.4,23,5/6/2016,24:49.4,11,non focal,0.308836,VIRA grunt,0.308836,VIRA call,0.308836,1,non focal
,S4A01593_20160506_225407.wav,0,1944.155,0.357,1406,1635,1969,5/6/2016,26:31.2,23,5/6/2016,26:31.2,11,non focal,0.314065,BLRA,0.314065,CLRA kek,0.314065,1,non focal
,S4A01593_20160506_225407.wav,1,1071.685,0.309,1313,1570,1781,5/6/2016,11:58.7,23,5/6/2016,11:58.7,11,non focal,0.314211,BLRA,0.314211,CLRA kek,0.314211,1,non focal
